Agency,Count
QQ-OFFICE OF NATIONAL DRUG CONTROL POLICY,139
GG-OFFICE OF GOVERNMENT ETHICS,139
EW-TRADE AND DEVELOPMENT AGENCY,114
NS-NATIONAL SECURITY COUNCIL,113
OS-OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,107
HP-ADVISORY COUNCIL ON HISTORIC PRESERVATION,102
ZL-MEDICARE PAYMENT ADVISORY COMMISSION,96
IF-INTER-AMERICAN FOUNDATION,90
RO-MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,86
FJ-CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,84
CC-COMMISSION ON CIVIL RIGHTS,84
BT-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,82
NM-NATIONAL MEDIATION BOARD,80
NP-NATIONAL CAPITAL PLANNING COMMISSION,79
EO-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,77
AN-AFRICAN DEVELOPMENT FOUNDATION,73
RE-OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,66
HB-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SE VERELY DISABLED,64
ZS-UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,61
AB-AMERICAN BATTLE MONUMENTS COMMISSION,60
GQ-ELECTION ASSISTANCE COMMISSION,58
DQ-DENALI COMMISSION,54
ZP-U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,52
VD-PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,49
TS-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,46
CE-COUNCIL OF ECONOMIC ADVISERS,44
MA-MARINE MAMMAL COMMISSION,44
BW-NUCLEAR WASTE TECHNICAL REVIEW BOARD,42
GY-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,40
NK-NATIONAL COUNCIL ON DISABILITY,34
CX-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,34
HW-U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,32
EQ-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,28
UJ-JAPAN-UNITED STATES FRIENDSHIP COMMISSION,26
CF-COMMISSION OF FINE ARTS,25
AA-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,25
DB-PUBLIC INTEREST DECLASSIFICATION BOARD,24
UT-UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,23
FI-FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,23
FK-FARM CREDIT SYSTEM INSURANCE CORPORATION,22
AW-ARCTIC RESEARCH COMMISSION,20
IG-COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,19
WX-WORLD WAR 1 CENTENNIAL COMMISSION,17
ZU-DWIGHT D. EISENHOWER MEMORIAL COMMISSION,16
GX-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,15
GE-BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,14
AP-APPALACHIAN REGIONAL COMMISSION,13
HT-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,10
GO-VIETNAM EDUCATION FOUNDATION,9
BK-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,8
DG-NORTHERN BORDER REGIONAL COMMISSION,6
BH-COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,2
GM-VALLES CALDERA TRUST,2
BZ-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,1
